,0
1745,"
"
1746,난처하고
1747,"
"
1748,난폭하거나
1749,"
"
1750,난폭하거나
1751,주책
1752,없는
1753,"
"
1754,난폭한
1755,행위
1756,로
1757,"
"
1758,난하다
1759,"
"
1760,날카롭고
1761,격하
1762,게
1763,"
"
1764,남
1765,에게
1766,복종
1767,하면서
1768,"
"
1769,남
1770,에게
1771,억지로
1772,"
"
1773,남
1774,에게
1775,폐
1776,를
1777,"
"
1778,남용
1779,하다
1780,"
"
1781,남
1782,을
1783,괴롭히는
1784,"
"
1785,남
1786,을
1787,굴복시킴
1788,"
"
1789,남
1790,을
1791,깎아
1792,내
1793,리기
1794,"
"
1795,남
1796,을
1797,낮추어
1798,"
"
1799,남
1800,을
1801,낮추어
1802,보듯이
1803,"
"
1804,남
1805,을
1806,멸시
1807,하
1808,거나
1809,"
"
1810,남
1811,을
1812,못
1813,살게
1814,"
"
1815,남
1816,을
1817,성가시게
1818,"
"
1819,남
1820,을
1821,업신
1822,여기는
1823,"
"
1824,남
1825,을
1826,조롱
1827,하
1828,거나
1829,"
"
1830,남
1831,을
1832,해치려다가
1833,"
"
1834,남
1835,을
1836,헐뜯고
1837,"
"
1838,남
1839,을
1840,헐뜯다
1841,"
"
1842,남
1843,을
1844,헐뜯어
1845,"
"
1846,남
1847,을
1848,헐뜯으려고
1849,"
"
1850,남
1851,을
1852,헐뜯음
1853,"
"
1854,남
1855,의
1856,어리석은
1857,"
"
1858,남
1859,이
1860,병들거나
1861,"
"
1862,납치
1863,"
"
1864,낭비
1865,된
1866,"
"
1867,낭비
1868,된
1869,"
"
1870,낭패
1871,"
"
1872,낮
1873,잡는
1874,"
"
1875,낮
1876,잡는
1877,뜻
1878,으로
1879,"
"
1880,낮
1881,잡아
1882,"
"
1883,낮
1884,잡아
1885,이르는
1886,"
"
1887,낮추어
1888,"
"
1889,낮추어
1890,보거나
1891,"
"
1892,낮추어
1893,보듯이
1894,"
"
1895,낮추어
1896,보아
1897,"
"
1898,낮추어
1899,이르는
1900,"
"
1901,내
1902,거나
1903,불평
1904,을
1905,"
"
1906,내놓
1907,기
1908,가
1909,싫다
1910,"
"
1911,내는
1912,성
1913,"
"
1914,내던져
1915,버리다
1916,"
"
1917,내던져
1918,버림
1919,"
"
1920,내버려지다
1921,"
"
1922,내버리거나
1923,"
"
1924,내
1925,숭
1926,스럽고
1927,거칠다
1928,"
"
1929,내용
1930,이
1931,못마땅하거나
1932,"
"
1933,내쫓
1934,기
1935,다
1936,"
"
1937,내쫓
1938,김
1939,을
1940,당하다
1941,"
"
1942,내쫓는
1943,"
"
1944,내쫓는
1945,일
1946,"
"
1947,내쫓다
1948,"
"
1949,내쫓아
1950,"
"
1951,냉담한
1952,"
"
1953,냉랭하거나
1954,"
"
1955,냉랭하고
1956,"
"
1957,냉랭하며
1958,"
"
1959,너무
1960,더디거나
1961,"
"
1962,너무
1963,볼품
1964,없이
1965,"
"
1966,너무
1967,쇠약해지거나
1968,"
"
1969,너무
1970,예민하거나
1971,"
"
1972,너무
